,80516,80416,80316,80216,80116,73116,73016,72916,72816,72716,72616,72516,72416,72316,72216,72116,72016,71916,71816,71716,71616,71516,71416,71316,71216,71116,71016,70916,70816,70716,70616,70516,70416,70316,70216,70116,63016,62916,62816,62716,62616,62516,62416,62316,62216,62116,62016,61916,61816
fantasica -tower defense tcg,101700,-1,101693,101687,-1,-1,-1,101650,101655,-1,101650,101646,-1,-1,101625,101609,101606,101599,101592,-1,-1,101569,-1,101555,101544,101538,-1,-1,101513,-1,101498,101485,101466,101465,101439,-1,-1,-1,101393,101375,-1,-1,101331,101324,101307,101297,101276,-1,101241
panda pop,619441,-1,618353,617944,-1,-1,-1,615638,615068,-1,613654,612719,-1,-1,610743,610044,609178,608531,607628,-1,-1,605478,-1,603933,603187,602486,-1,-1,600332,-1,599207,598744,598179,597946,597197,-1,-1,-1,595073,594678,-1,-1,593118,592609,592093,591510,590961,-1,590188
farmville 2,1916738,-1,1915558,1914850,-1,-1,-1,1911700,1910949,-1,1909370,1908502,-1,-1,1905853,1904766,1903300,1900741,1900173,-1,-1,1897925,-1,1896473,1895752,1895007,-1,-1,1892462,-1,1890974,1888973,1887195,1886682,1885043,-1,-1,-1,1878019,1877556,-1,-1,1875922,1875282,1874605,1873780,1872901,-1,1871469
war and order,46288,-1,45427,44894,-1,-1,-1,43019,42720,-1,42199,41910,-1,-1,41144,40891,40625,40387,40075,-1,-1,39341,-1,38773,38369,38095,-1,-1,37141,-1,36572,36272,35951,35787,35338,-1,-1,-1,34249,34033,-1,-1,33072,32897,32590,32238,31881,-1,31257
bingo bash,438525,-1,437753,437215,-1,-1,-1,435316,434705,-1,433055,432753,-1,-1,429521,428363,428262,428171,428084,-1,-1,427727,-1,427501,427371,427222,-1,-1,426860,-1,426721,426618,426492,426464,426270,-1,-1,-1,425848,425673,-1,-1,425279,425006,424371,424214,424127,-1,424015
blossom blast saga,748996,-1,747590,746862,-1,-1,-1,743674,742868,-1,741244,740381,-1,-1,737673,736755,735834,735071,733886,-1,-1,730986,-1,729110,728215,727182,-1,-1,724195,-1,722287,721432,720387,719811,718249,-1,-1,-1,713752,713009,-1,-1,709231,708228,707161,706068,704940,-1,703271
pet rescue saga,2718529,-1,2717331,2716859,-1,-1,-1,2714457,2713723,-1,2712409,2711839,-1,-1,2709495,2708555,2707812,2707241,2706170,-1,-1,2704237,-1,2702731,2702021,2701166,-1,-1,2698918,-1,2697858,2697262,2696541,2696253,2695242,-1,-1,-1,2692234,2691465,-1,-1,2689063,2688462,2687840,2687228,2686590,-1,2685735
tap sports baseball 2016,80783,-1,79413,78676,-1,-1,-1,74386,73614,-1,72611,72285,-1,-1,71351,70956,70580,70292,69903,-1,-1,69013,-1,68417,68013,67658,-1,-1,66525,-1,65640,65238,64780,64615,63968,-1,-1,-1,62150,61879,-1,-1,60226,59679,59251,58889,58370,-1,57635
yahtzee with buddies,171987,-1,171835,171785,-1,-1,-1,171451,171358,-1,171106,171031,-1,-1,170576,170306,170129,169951,169744,-1,-1,169083,-1,168604,168263,167842,-1,-1,167114,-1,166752,166580,166423,166364,166089,-1,-1,-1,165383,165262,-1,-1,164870,164770,164632,164496,164384,-1,164198
soul hunters,86844,-1,86643,86488,-1,-1,-1,85879,85740,-1,85354,85189,-1,-1,84784,84629,84510,84381,84226,-1,-1,83826,-1,83519,83328,83170,-1,-1,82607,-1,81792,81562,80740,80443,78284,-1,-1,-1,74551,74408,-1,-1,73693,73523,73335,73148,72999,-1,72807
cooking fever,1469891,-1,1466516,1465069,-1,-1,-1,1456814,1454838,-1,1451204,1449736,-1,-1,1443281,1441135,1438941,1437358,1435140,-1,-1,1428802,-1,1424745,1421917,1420110,-1,-1,1412383,-1,1408245,1405962,1403586,1402825,1399086,-1,-1,-1,1388493,1385864,-1,-1,1377241,1375318,1373379,1371508,1369457,-1,1366074
